_id,geometry,map_id,name,province,district,commune,landarea_h,capital,developer,cdc_num,date_cdc,sub_decree,date_sub,cdc_status,cur_status,pre_status,com_invest,reference,referen_kh,last_updat,language,cap_inv_m,Latitude,Longitude
1,0101000020887F00004129984A0DFB0F419C373988FD983441,21,MDS Thmorda SEZ,Pursat,Veal Veaeng,Thma Da,2265,30392000,Mr. Try Pheap,2030,30-Sep-10,Not found,Not found,Not found,Feb 2014__Infrastructure developing,Not found,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;CDC__22.04.2013.pdf,,17/5/2016,English,,12.20231,102.812398
2,0101000020887F0000A347723160D52241E9FD97E5F1A53241,22,N.L.C SEZ,Svay Rieng,Svay Teab,Chrak Mtes,105,13000000,Ms. Leang Vouch Chheng,2403,15-Jul-05,Not found,Not found,Not found,Feb 2014__Infrastructure developing,Jul 2011__No activities,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf,,17/5/2016,English,,11.053724,106.072381
3,0101000020887F0000C04A7F72179A27412B5E7BC280113741,23,Try Pheap Ou Ya Dav SEZ,Ratanak Kiri,Ou Ya Dav,Pak Nhai,136,44994360,Mr. Try Pheap,765/13,19-Apr-13,219,7-May-13,Not found,2015__Infrastructure developing,Not found,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;Sub_Decree_No_219__07.05.2013.pdf,,9/4/2014,English,,13.662346,107.527203
4,0101000020887F0000C0AC590D9C9022416B8D010B33A13241,24,Hi-Park SEZ,Svay Rieng,Bavet,Chrak Mtes,263.13,62784780,Very well Hong Kong Limited. Representative: Mr. Lin Mao-Fong,131/13,16-Jan-13,285,30-May-13,Operating,2015__Infrastructure developing,Not found,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;Sub_Decree_No_285__30.05.2013.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,17/5/2016,English,0,11.043013,105.99177
5,0101000020887F000028A296F949CE22410D264C2DF7F23341,1,Thary Kampong Cham SEZ,Kampong Cham,Memot,Dar,142.14,69000000,Mr. Chhorn Thary,1931,11-Jun-07,74,16-Jul-07,Not found,Feb 2014__Infrastructure developing,Jul 2011__Under construction,1 company,Cambodian_SEZ_Board__01.07.2009.pdf;CDC__22.04.2013.pdf;Sub_Decree_No_74__16.07.2007.pdf,,17/5/2016,English,,11.824627,106.06696
6,0101000020887F000051AE672106F822418A4EFD72B8AA3241,2,Tai Seng Bavet SEZ,Svay Rieng,Chantrea,Bavet,99,37000000,Mr. Ly Hong Shin,24,4-Jan-07,29,4-Apr-07,Operating,"Feb 2014__Infrastructure developing: fencing, landfill and connecting electricity into the zone.",Jul 2011__Operational,11 Compainies,CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Sub_Decree_No_29__04.04.2007.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,19/6/2014,English,0,11.064632,106.113019
7,0101000020887F0000796695EB34FC224113B3E1F1E2A33241,3,Manhattan (Svay Reing) SEZ,Svay Rieng,Chantrea,Bavet,157.007,15000000,Mr. Clement Yang (Taiwan),2942,28-Aug-05,135,29-Nov-06,Operating,"Feb 2014__The company already built infrastucture, connected power grid from Viet Nam and fenced of the first phase of 70 ha.",Jul 2011__Operational,18 Companies,CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Sub_Decree_No_135__29.11.2006.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,19/6/2014,English,0,11.048794,106.11786
8,0101000020887F0000DDF44FC616B21E419017D56992F03241,4,Goldfame Pak Shun SEZ,Kandal,S'ang,Setbo,80,34462510,Mr. Chan Ji Kvong,25,4-Jan-07,30,4-Apr-07,Operating,Feb 2014__Infrastructure development: fencing,Jul 2011__Operational,3 Companies,CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Sub_Decree_No_30__04.04.2007.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,4/6/2014,English,0,11.228403,105.026729
9,0101000020887F00002DF528B824341D41D12B210704E93141,5,Doung Chhiv Phnom Den SEZ,Takeo,Kiri Vong,Phnum Den,79,28000000,Oknha Doung Chhiv,268,20-Feb-06,140,8-Dec-06,Not found,Feb 2014__Infrastructure developing: landfill and fencing,Jul 2011__Under construction,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Sub_Decree_No_140__08.12.2006.pdf,,17/5/2016,English,,10.618137,104.803196
10,0101000020887F0000B87101FB06262341586604D394A43241,6,D&M Bavet SEZ,Svay Rieng,Chantrea,Bavet,117.95,52266830,Ms. Men Pheakdey;Ms. Chhay Noy;Miss. Dy Chendavy,4134,1-Nov-07,Not found,Not found,Not found,Feb 2014__Infrastructure developing,Jul 2011__No activities,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;,,17/5/2016,English,,11.050218,106.166866
